2yillik_Bolumler_aciklamali
Sehir;Id;bolum_adi;Tur;Universite;Fakülte;Ogrenim_sekli;Ozellik;2025_Taban_Puan;2025_Taban_Sıralama;2025_Kontenjan;2025_Dolu_Kontenjan;2025_Bos_Kontenjan;2025_Kontenjan_Orani;2025_Sıralama_Degisim_Orani;2025_Ucret;2024_TabanPuani;2024_TabanSıralama;2024_Kontenjan;2024_Dolu_Kontenjan;2024_Bos_Kontenjan;2024_Kontenjan_Orani;2024_Ucret;Aciklama
Kayseri;204610569;İLK VE ACİL YARDIM;Vakıf;Nuh Naci Yazgan Ü.;Meslek Y.O.;Ücretli;-;267,5141;1.287.000;15;15;0;%100,0;-;₺363.000,00;-;Yeni;-;-;-;-;-;
İstanbul;202650628;İLK VE ACİL YARDIM;Vakıf;"w
Demiroğlu Bilim Ü.";Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;266,7122;1.298.000;32;32;0;%100,0;137.598;₺196.218,00;280,1660;1.160.402;57;57;-;%100,0;₺67.954,00;
İstanbul;203150201;İLK VE ACİL YARDIM;Vakıf;İstanbul Medipol Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;266,5028;1.301.000;68;68;0;%100,0;-;₺290.000,00;-;Yeni;-;-;-;-;-;
İstanbul;201290390;İLK VE ACİL YARDIM;Vakıf;Doğuş Ü.;Meslek Y.O.;%50 İnd.;-;265,6930;1.313.000;59;59;0;%100,0;-124.260;₺284.800,00;262,6818;1.437.260;59;59;-;%100,0;₺178.000,00;
İstanbul;208750085;İLK VE ACİL YARDIM;Vakıf;İstanbul Kent Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;265,3586;1.318.000;68;68;0;%100,0;63.679;₺250.000,00;274,0494;1.254.321;67;67;-;%100,0;₺125.000,00;
İstanbul;209310036;İLK VE ACİL YARDIM;Vakıf;İstanbul Atlas Ü.;Meslek Y.O.;%50 İnd.;-;264,0682;1.336.000;58;58;0;%100,0;-36.387;₺272.500,00;266,6543;1.372.387;58;58;-;%100,0;₺160.000,00;
İstanbul;203151341;İLK VE ACİL YARDIM;Vakıf;İstanbul Medipol Ü.;Meslek Y.O.;%50 İnd.;-;262,7378;1.356.000;68;68;0;%100,0;-;₺290.000,00;-;Yeni;-;-;-;-;-;
İstanbul;206250845;İLK VE ACİL YARDIM;Vakıf;İstanbul Yeni Yüzyıl Ü.;Sağlık Hizmetleri Meslek Y.O.;%25 İnd.;-;262,1439;1.364.000;68;68;0;%100,0;-415.484;₺240.000,00;242,7895;1.779.484;68;68;-;%100,0;₺150.000,00;
İstanbul;201790203;İLK VE ACİL YARDIM;Vakıf;İstanbul Gedik Ü.;Gedik Meslek Y.O.;Ücretli;-;259,2975;1.406.000;2;2;0;%100,0;-78.806;₺520.000,00;259,8294;1.484.806;2;2;-;%100,0;₺275.000,00;
İstanbul;209810026;İLK VE ACİL YARDIM;Vakıf;İstanbul Galata Ü.;Meslek Y.O.;%50 İnd.;-;257,8419;1.428.000;50;50;0;%100,0;-405.371;₺243.750,00;239,7832;1.833.371;36;36;-;%100,0;₺195.000,00;
Lefkoşa;300450542;İLK VE ACİL YARDIM;Kıbrıs;Uluslararası Kıbrıs Ü.;Sağlık Bilimleri Meslek Y.O.;%50 İnd.;-;255,6704;1.459.000;28;28;0;%100,0;-324.851;₺179.550,00;242,5433;1.783.851;33;33;-;%100,0;₺123.450,00;
Kocaeli;209710083;İLK VE ACİL YARDIM;Vakıf;Kocaeli Sağlık ve Teknoloji Ü.;Avrupa Meslek Y.O.;%25 İnd.;-;253,8426;1.486.000;68;68;0;%100,0;-293.907;₺356.400,00;242,7672;1.779.907;61;61;-;%100,0;₺222.750,00;
Konya;200651469;İLK VE ACİL YARDIM;Vakıf;Başkent Ü.;Konya Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;252,4796;1.506.000;38;38;0;%100,0;224.132;₺300.000,00;272,2958;1.281.868;38;38;-;%100,0;₺182.500,00;
İstanbul;209810024;İLK VE ACİL YARDIM;Vakıf;İstanbul Galata Ü.;Meslek Y.O.;Ücretli;-;250,9216;1.529.000;1;1;0;%100,0;-628.185;₺487.500,00;222,1531;2.157.185;15;15;-;%100,0;₺390.000,00;
Ankara;205850136;İLK VE ACİL YARDIM;Vakıf;Ufuk Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;249,3325;1.552.000;22;22;0;%100,0;-70.035;₺470.000,00;251,7683;1.622.035;30;30;-;%100,0;₺340.000,00;
Gaziantep;201650053;İLK VE ACİL YARDIM;Vakıf;Hasan Kalyoncu Ü.;Meslek Y.O.;Ücretli;-;247,8519;1.574.000;54;54;0;%100,0;553.892;₺385.000,00;289,7861;1.020.108;57;57;-;%100,0;₺165.000,00;
Lefkoşa;300550347;İLK VE ACİL YARDIM;Kıbrıs;Yakın Doğu Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;247,5120;1.579.000;68;68;0;%100,0;-217.212;₺236.820,00;241,8479;1.796.212;67;67;-;%100,0;₺172.875,00;
Ankara;200651081;İLK VE ACİL YARDIM;Vakıf;Başkent Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;247,5295;1.579.000;6;6;0;%100,0;153.692;₺600.000,00;263,3997;1.425.308;7;7;-;%100,0;₺365.000,00;
İstanbul;210400276;İLK VE ACİL YARDIM;Vakıf;İstanbul Nişantaşı Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;246,1694;1.599.000;67;67;0;%100,0;334.828;₺413.820,00;273,4230;1.264.172;67;67;-;%100,0;₺151.250,00;
Nevşehir;203851404;İLK VE ACİL YARDIM;Vakıf;Kapadokya Ü.;Kapadokya Meslek Y.O.;Ücretli;-;245,2592;1.612.000;38;38;0;%100,0;156.147;₺374.000,00;261,5575;1.455.853;37;37;-;%100,0;₺253.000,00;
Gazimağusa;300150651;İLK VE ACİL YARDIM;Kıbrıs;Doğu Akdeniz Ü.;Sağlık Hizmetleri Y.O.;Ücretli;-;244,2148;1.627.000;46;46;0;%100,0;-207.744;₺478.191,00;239,7053;1.834.744;46;46;-;%100,0;₺287.060,00;
İstanbul;210400269;İLK VE ACİL YARDIM;Vakıf;İstanbul Nişantaşı Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;244,1738;1.628.000;1;1;0;%100,0;288.905;₺827.640,00;268,7253;1.339.095;1;1;-;%100,0;₺302.500,00;
Adana;200651054;İLK VE ACİL YARDIM;Vakıf;Başkent Ü.;Adana Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;242,9957;1.645.000;5;5;0;%100,0;73.963;₺600.000,00;254,7542;1.571.037;4;4;-;%100,0;₺365.000,00;
İstanbul;206850487;İLK VE ACİL YARDIM;Vakıf;İstanbul Şişli Meslek Y.O.;İstanbul Şişli Meslek Y.O.;Ücretli;-;242,5405;1.652.000;7;7;0;%100,0;17.001;₺400.000,00;251,0163;1.634.999;9;9;-;%100,0;₺275.000,00;
İstanbul;202456101;İLK VE ACİL YARDIM;Vakıf;İstanbul Aydın Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;242,2241;1.657.000;68;68;0;%100,0;239.676;₺350.000,00;263,8926;1.417.324;68;68;-;%100,0;₺175.000,00;
Gazimağusa;300150678;İLK VE ACİL YARDIM;Kıbrıs;Doğu Akdeniz Ü.;Sağlık Hizmetleri Y.O.;%50 İnd.;-;241,3667;1.669.000;22;22;0;%100,0;-196.933;₺239.096,00;237,9737;1.865.933;22;22;-;%100,0;₺154.230,00;
İstanbul;202550863;İLK VE ACİL YARDIM;Vakıf;İstanbul Bilgi Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;240,9624;1.675.000;46;46;0;%100,0;7.467;₺310.000,00;249,1493;"m
1.667.533";47;47;-;%100,0;₺190.000,00;
İstanbul;208151165;İLK VE ACİL YARDIM;Vakıf;İstanbul Rumeli Ü.;Sağlık Hizmetleri Meslek Y.O.;%25 İnd.;-;240,1510;1.687.000;34;34;0;%100,0;169.302;₺350.908,00;257,8702;1.517.698;34;34;-;%100,0;₺198.253,00;
Ankara;200651106;İLK VE ACİL YARDIM;Vakıf;Başkent Ü.;Sağlık Hizmetleri Meslek Y.O.;%25 İnd.;-;238,2189;1.715.000;40;40;0;%100,0;443.209;₺450.000,00;272,9350;1.271.791;39;39;-;%100,0;₺273.750,00;
Gaziantep;207710103;İLK VE ACİL YARDIM;Vakıf;Sanko Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;237,0384;1.733.000;28;28;0;%100,0;688.814;₺385.000,00;"o
288,0858";1.044.186;24;24;-;%100,0;₺192.500,00;
İstanbul;200551276;İLK VE ACİL YARDIM;Vakıf;Bahçeşehir Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;236,3704;1.742.000;34;34;0;%100,0;314.883;₺356.500,00;263,2905;1.427.117;35;35;-;%100,0;₺192.500,00;
Girne;300250526;İLK VE ACİL YARDIM;Kıbrıs;Girne Amerikan Ü.;Sağlık Meslek Y.O.;%50 İnd.;-;235,8403;1.750.000;22;22;0;%100,0;-121.610;"c
₺187.425";237,6611;1.871.610;20;20;-;%100,0;₺110.250,00;
İstanbul;201950659;İLK VE ACİL YARDIM;Vakıf;Haliç Ü.;Meslek Y.O.;%25 İnd.;-;235,5905;1.754.000;50;50;0;%100,0;-376.307;₺360.000,00;223,5958;2.130.307;50;50;-;%100,0;₺225.000,00;
İstanbul;202352737;İLK VE ACİL YARDIM;Vakıf;İstanbul Arel Ü.;Meslek Y.O.;Ücretli;-;234,5228;1.769.000;47;47;0;%100,0;".
-452.857";₺332.000,00;218,6228;2.221.857;56;56;-;%100,0;₺270.085,00;
İstanbul;210302082;İLK VE ACİL YARDIM;Vakıf;İstanbul Beykent Ü.;Meslek Y.O.;%50 İnd.;-;233,1534;1.789.000;67;67;0;%100,0;-237.313;₺429.630,00;229,2302;2.026.313;68;68;-;%100,0;₺256.000,00;
İstanbul;202950126;İLK VE ACİL YARDIM;Vakıf;Altınbaş Ü.;Sağlık Hizmetleri Meslek Y.O.;%25 İnd.;-;233,1246;1.790.000;68;68;0;"m
100,0%";4.456;₺442.500,00;242,4494;1.785.544;68;68;-;%100,0;₺198.000,00;
İstanbul;204752357;İLK VE ACİL YARDIM;Vakıf;İstanbul Okan Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;232,6279;1.797.000;11;11;0;%100,0;50.671;₺466.290,00;244,6594;1.746.329;12;12;-;%100,0;₺252.036,00;
İstanbul;204151083;İLK VE ACİL YARDIM;Vakıf;Maltepe Ü.;Meslek Y.O.;%25 İnd.;-;231,6342;1.811.000;21;21;0;%100,0;255.154;₺371.250,00;255,6354;1.555.846;10;10;-;%100,0;₺191.250,00;
İstanbul;206550569;İLK VE ACİL YARDIM;Vakıf;Üsküdar Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;229,3385;1.844.000;68;"i
68";0;%100,0;-29.061;₺409.050,00;237,5772;1.873.061;65;65;-;%100,0;₺215.890,00;
İstanbul;209910025;İLK VE ACİL YARDIM;Vakıf;İstanbul Sağlık ve Sosyal Bilimler Meslek Y.O.;İstanbul Sağlık ve Sosyal Bilimler Meslek Y.O.;%50 İnd.;-;228,8376;1.851.000;"l
51";51;0;%100,0;925.719;₺260.000,00;296,7478;925.281;46;46;-;%100,0;₺95.000,00;
İstanbul;204151056;İLK VE ACİL YARDIM;Vakıf;Maltepe Ü.;Meslek Y.O.;Ücretli;-;228,7763;1.852.000;10;10;0;%100,0;-220.764;₺495.000,00;226,7132;2.072.764;21;21;-;%100,0;₺255.000,00;
Girne;300750142;İLK VE ACİL YARDIM;Kıbrıs;Girne Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;225,6710;"a
1.895.000";42;42;0;%100,0;-136.782;₺236.820,00;228,9248;2.031.782;42;42;-;%100,0;₺180.481,00;
İstanbul;201950226;İLK VE ACİL YARDIM;Vakıf;Haliç Ü.;Meslek Y.O.;Ücretli;-;225,5736;1.897.000;11;11;0;%100,0;-282.598;₺480.000,00;220,9323;2.179.598;11;11;-;%100,0;₺300.000,00;
İstanbul;202790781;İLK VE ACİL YARDIM;Vakıf;İstanbul Gelişim Ü.;Sağlık Hizmetleri Meslek Y.O.;%25 İnd.;-;"s
219,8554";1.975.000;48;48;0;%100,0;219.888;₺534.319,00;244,1684;1.755.112;41;41;-;%100,0;₺210.000,00;
Lefkoşa;300450515;İLK VE ACİL YARDIM;Kıbrıs;Uluslararası Kıbrıs Ü.;Sağlık Bilimleri Meslek Y.O.;Ücretli;-;219,7340;1.977.000;40;40;0;%100,0;-432.903;₺359.100,00;208,0972;2.409.903;35;35;-;%100,0;₺228.450,00;
İstanbul;207550072;İLK VE ACİL YARDIM;Vakıf;İstanbul Esenyurt Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;"n
-";215,3145;2.034.000;50;50;0;%100,0;-231.825;₺400.000,00;216,2148;2.265.825;50;50;-;%100,0;₺230.000,00;
Girne;302000129;İLK VE ACİL YARDIM;Kıbrıs;Kıbrıs Aydın Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;214,4750;2.045.000;68;68;0;%100,0;1.373;₺168.000,00;228,2819;2.043.627;57;57;-;%100,0;₺99.750,00;
İstanbul;200950694;İLK VE ACİL YARDIM;Vakıf;Bezm-İ Alem Vakıf Ü.;Sağlık Hizmetleri Meslek Y.O.;"u
Ücretli";-;210,4223;2.094.000;18;18;0;%100,0;609.745;₺366.300,00;259,8613;1.484.255;15;15;-;%100,0;₺198.000,00;
İstanbul;202751541;İLK VE ACİL YARDIM;Vakıf;İstanbul Gelişim Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;209,1702;2.109.000;21;21;0;%100,0;94.049;₺712.425,00;229,8404;2.014.951;27;27;-;%100,0;₺280.000,00;
İstanbul;202090326;İLK VE ACİL YARDIM;Vakıf;Işık Ü.;".
Meslek Y.O.";Ücretli;-;202,0849;2.184.000;35;35;0;%100,0;-287.123;₺402.000,00;204,4025;2.471.123;35;35;-;%100,0;₺191.440,00;
İstanbul;208150434;İLK VE ACİL YARDIM;Vakıf;İstanbul Rumeli Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;200,3415;2.200.000;34;34;0;%100,0;-22.648;₺467.877,00;218,5787;2.222.648;34;34;-;%100,0;₺264.338,00;
Girne;300250483;İLK VE ACİL YARDIM;Kıbrıs;Girne Amerikan Ü.;"w
Sağlık Meslek Y.O.";Ücretli;-;197,2532;2.225.000;19;19;0;%100,0;-212.145;₺374.850,00;206,4855;2.437.145;17;17;-;%100,0;₺220.500,00;
Bursa;209910109;İLK VE ACİL YARDIM;Vakıf;İstanbul Sağlık ve Sosyal Bilimler Meslek Y.O.;İstanbul Sağlık ve Sosyal Bilimler Meslek Y.O.;%50 İnd.;-;193,8808;2.249.000;51;51;0;%100,0;-;₺260.000,00;-;Yeni;-;-;-;-;-;
İstanbul;202650174;İLK VE ACİL YARDIM;Vakıf;Demiroğlu Bilim Ü.;Sağlık Hizmetleri Meslek Y.O.;Ücretli;-;193,6566;2.250.000;26;26;0;%100,0;-;₺392.436,00;-;Yeni;-;-;-;-;-;
İstanbul;203190042;İLK VE ACİL YARDIM;Vakıf;İstanbul Medipol Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;İng.;-;Dolmadı;68;37;31;%54,4;-;₺290.000,00;-;Yeni;-;-;-;-;-;
Ankara;209210299;İLK VE ACİL YARDIM;Vakıf;Ankara Medipol Ü.;"w
Sağlık Hizmetleri Meslek Y.O.";%50 İnd.;İng.;-;Dolmadı;68;22;46;%32,4;-;₺290.000,00;414,4578;68.183;55;55;-;%100,0;₺360.000,00;
Lefkoşa;300590343;İLK VE ACİL YARDIM;Kıbrıs;Yakın Doğu Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;İng.;-;Dolmadı;30;17;13;%56,7;-;₺236.820,00;207,8428;2.414.328;27;27;-;%100,0;₺172.875,00;
Ankara;111091431;İLK VE ACİL YARDIM (İİB);Devlet;Sağlık Bilimleri Ü.;Gülhane Sağlık Meslek Y.O.;Örgün;Kız;441,5682;66.400;2;2;0;%100,0;-19.855;-;447,5632;86.255;2;2;-;%100,0;-;
Ankara;111050346;İLK VE ACİL YARDIM (İİB);Devlet;Sağlık Bilimleri Ü.;Gülhane Sağlık Meslek Y.O.;Örgün;Erkek;393,4068;189.100;8;8;0;%100,0;-3.945;-;399,4926;193.045;8;8;-;%100,0;-;
Ankara;111091155;İLK VE ACİL YARDIM (MSB);Devlet;Sağlık Bilimleri Ü.;Gülhane Sağlık Meslek Y.O.;Örgün;Erkek;356,0452;360.900;70;70;0;%100,0;-10.675;-;356,8092;371.575;65;65;-;%100,0;-;
İstanbul;111091156;İLK VE ACİL YARDIM (MSB);Devlet;Sağlık Bilimleri Ü.;Hamidiye Sağlık Hizmetleri Meslek Y.O.;Örgün;Erkek;346,5941;420.400;70;70;0;%100,0;-52.099;-;341,1106;472.499;65;65;-;%100,0;-;
Kocaeli;106990785;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Kocaeli Ü.;Ford Otosan İhsaniye Otomotiv Meslek Y.O.;Örgün;-;296,2602;896.900;30;30;0;%100,0;57.925;-;303,4887;838.975;30;30;-;%100,0;-;
İstanbul;201290656;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;Doğuş Ü.;Meslek Y.O.;Burslu;-;290,3395;971.700;5;5;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Konya;204090797;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;KTO Karatay Ü.;Ticaret ve Sanayi Meslek Y.O.;Burslu;-;285,4224;1.036.000;5;5;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
İstanbul;201991266;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;Haliç Ü.;Meslek Y.O.;Burslu;-;282,5246;1.075.000;5;5;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Manisa;102590419;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Manisa Celâl Bayar Ü.;Manisa Teknik Bilimler Meslek Y.O.;Örgün;-;280,6225;1.101.000;30;30;0;%100,0;-188.482;-;271,8200;1.289.482;30;30;-;%100,0;-;
Sakarya;111890322;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Sakarya Uygulamalı Bilimler Ü.;Hendek Meslek Y.O.;Örgün;-;258,4296;1.419.000;25;25;0;%100,0;10.847;-;264,4626;1.408.153;25;25;-;%100,0;-;
İstanbul;202391172;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;İstanbul Arel Ü.;Meslek Y.O.;Burslu;-;255,6807;1.459.000;4;4;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Isparta;112572469;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Isparta Uygulamalı Bilimler Ü.;Isparta Bilişim Teknolojileri Meslek Y.O.;Örgün;-;248,3669;1.566.000;30;30;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Gaziantep;104290444;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Gaziantep Ü.;Naci Topçuoğlu Meslek Y.O.;Örgün;-;245,6481;1.606.000;30;30;0;%100,0;-291.516;-;236,2198;1.897.516;30;30;-;%100,0;-;
Şanlıurfa;105090312;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Harran Ü.;Şanlıurfa Teknik Bilimler Meslek Y.O.;Örgün;-;237,2190;1.730.000;30;30;0;%100,0;-266.160;-;230,8498;1.996.160;30;30;-;%100,0;-;
Nevşehir;108090168;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Nevşehir Hacı Bektaş Veli Ü.;Hacıbektaş Teknik Bilimler Meslek Y.O.;Örgün;-;227,8802;1.865.000;40;40;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Burdur;107390462;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Burdur Mehmet Akif Ersoy Ü.;Teknik Bilimler Meslek Y.O.;Örgün;-;224,5083;1.911.000;30;30;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Çorum;105190250;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Hitit Ü.;Teknik Bilimler Meslek Y.O.;Örgün;-;222,2258;1.943.000;30;30;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Kütahya;103290352;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Devlet;Kütahya Dumlupınar Ü.;Tavşanlı Meslek Y.O.;Örgün;-;221,7598;1.949.000;30;30;0;%100,0;-;-;-;"m
Yeni";-;-;-;-;-;
Konya;204090811;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;KTO Karatay Ü.;Ticaret ve Sanayi Meslek Y.O.;%50 İnd.;-;-;Dolmadı;6;3;3;%50,0;-;₺154.000,00;-;Yeni;-;-;-;-;-;
Konya;204090804;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;KTO Karatay Ü.;Ticaret ve Sanayi Meslek Y.O.;Ücretli;-;-;Dolmadı;28;1;27;%3,6;-;₺308.000,00;-;Yeni;-;-;-;-;-;
İstanbul;201290663;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;Doğuş Ü.;Meslek Y.O.;%50 İnd.;-;-;Yer.Olmadı;34;0;34;%0,0;-;₺321.600,00;"o
-";Yeni;-;-;-;-;-;
İstanbul;201991273;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;Haliç Ü.;Meslek Y.O.;Ücretli;-;-;Yer.Olmadı;6;0;6;%0,0;-;₺350.000,00;-;Yeni;-;-;-;-;-;
İstanbul;201991280;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;Haliç Ü.;Meslek Y.O.;%25 İnd.;-;-;Yer.Olmadı;28;0;28;%0,0;-;"c
₺262.500";-;Yeni;-;-;-;-;-;
İstanbul;202391179;İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ;Vakıf;İstanbul Arel Ü.;Meslek Y.O.;%50 İnd.;-;-;Yer.Olmadı;25;0;25;%0,0;-;₺155.000,00;-;Yeni;-;-;-;-;-;
İstanbul;203150431;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Medipol Ü.;Sosyal Bilimler Meslek Y.O.;Burslu;-;350,0198;397.600;7;7;0;%100,0;-125.080;-;334,5169;522.680;5;5;-;%100,0;-;
İstanbul;202452957;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Aydın Ü.;Anadolu Bil Meslek Y.O.;Burslu;-;324,1863;596.000;11;11;0;%100,0;-35.646;-;322,2858;631.646;9;9;-;%100,0;-;
İstanbul;201790467;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Gedik Ü.;Gedik Meslek Y.O.;Burslu;-;322,0555;616.000;4;"i
4";0;%100,0;-3.886;-;323,5124;619.886;4;4;-;%100,0;-;
İstanbul;201991287;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;Haliç Ü.;Meslek Y.O.;Burslu;-;320,3335;632.000;"l
5";5;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
İstanbul;201250375;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;Doğuş Ü.;Meslek Y.O.;Burslu;-;319,3337;641.500;10;10;0;%100,0;-83.614;-;313,2882;725.114;10;10;-;%100,0;-;
İstanbul;210300619;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Beykent Ü.;Meslek Y.O.;Burslu;-;318,0949;"a
653.400";7;7;0;%100,0;-103.602;-;310,4126;757.002;8;8;-;%100,0;-;
İzmir;208910038;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İzmir Kavram Meslek Y.O.;İzmir Kavram Meslek Y.O.;Burslu;-;318,0637;653.700;4;4;0;%100,0;-63.973;-;313,9750;717.673;4;4;-;%100,0;-;
İstanbul;202750288;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Gelişim Ü.;İstanbul Gelişim Meslek Y.O.;Burslu;-;"s
317,1678";662.500;4;4;0;%100,0;-44.401;-;314,9632;706.901;6;6;-;%100,0;-;
İstanbul;202351148;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Arel Ü.;Meslek Y.O.;Burslu;-;314,1598;693.000;5;5;0;%100,0;-71.516;-;309,7595;764.516;5;5;-;%100,0;-;
İstanbul;204751111;İNSAN KAYNAKLARI YÖNETİMİ;Vakıf;İstanbul Okan Ü.;Meslek Y.O.;Burslu;"n
-";310,7787;728.600;5;5;0;%100,0;-;-;-;Yeni;-;-;-;-;-;
Kocaeli;106951519;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Kocaeli Ü.;Hereke Ömer İsmet Uzunyol Meslek Y.O.;Örgün;-;298,2975;871.800;40;40;0;%100,0;-219.554;-;284,8168;1.091.354;80;80;-;%100,0;-;
Bolu;100190173;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Bolu Abant İzzet Baysal Ü.;Bolu Meslek Y.O.;"u
Örgün";-;294,2986;921.300;30;30;0;%100,0;-235.553;-;280,4075;1.156.853;40;40;-;%100,0;-;
Çanakkale;102751578;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Çanakkale Onsekiz Mart Ü.;Gelibolu Piri Reis Meslek Y.O.;Örgün;-;283,4679;1.062.000;45;45;0;%100,0;-217.286;-;272,4629;1.279.286;60;60;-;%100,0;-;
Isparta;112552709;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Isparta Uygulamalı Bilimler Ü.;".
Isparta Meslek Y.O.";Örgün;-;282,6890;1.073.000;50;50;0;%100,0;-390.031;-;261,1266;1.463.031;90;90;-;%100,0;-;
Sakarya;111890182;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Sakarya Uygulamalı Bilimler Ü.;Geyve Meslek Y.O.;Örgün;-;279,0231;1.123.000;45;45;0;%100,0;-245.398;-;266,9079;1.368.398;60;60;-;%100,0;-;
Mersin;112070682;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Tarsus Ü.;"w
Meslek Y.O.";Örgün;-;278,5864;1.129.000;40;40;0;%100,0;-367.390;-;259,1354;1.496.390;50;50;-;%100,0;-;
Manisa;102551183;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Manisa Celâl Bayar Ü.;Ahmetli Meslek Y.O.;Örgün;-;278,4640;1.131.000;40;40;0;%100,0;-385.726;-;257,9289;1.516.726;80;80;-;%100,0;-;
Sivas;102652311;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Sivas Cumhuriyet Ü.;Cumhuriyet Sosyal Bilimler Meslek Y.O.;Örgün;-;273,7476;1.197.000;45;45;0;%100,0;-278.419;-;260,3783;1.475.419;60;60;-;%100,0;-;
Aydın;100351561;İNSAN KAYNAKLARI YÖNETİMİ;Devlet;Aydın Adnan Menderes Ü.;Sultanhisar Meslek Y.O.;Örgün;-;271,7835;1.225.000;45;45;0;%100,0;-272.734;-;259,0551;1.497.734;60;60;-;%100,0;-;
